R,G,B
162,87,29
158,91,39
158,94,46
154,91,48
164,102,63
161,99,60
145,99,66
153,79,16
152,76,18
160,80,21
158,80,18
149,78,14
151,79,20
141,76,34
148,77,25
155,79,19
150,84,24
158,96,55
169,102,49
162,108,80
178,126,87
168,113,74
159,95,60
150,90,62
159,94,56
159,100,60
161,106,75
160,91,52
164,93,51
155,92,51
123,78,47
159,97,58
146,85,56
144,115,83
138,86,49
154,87,45
152,86,38
159,89,40
156,88,43
156,92,46
158,94,48
163,101,50
161,98,47
160,96,52
167,94,53
163,100,59
170,107,64
163,94,63
161,98,63
161,102,62
170,99,57
171,109,70
168,103,71
164,100,65
161,98,63
166,108,71
174,119,78
173,121,82
164,100,65
157,104,73
157,94,61
169,123,89
159,104,73
158,104,76
149,101,78
173,125,89
177,124,84
175,122,82
180,125,84
177,118,76
175,119,72
174,113,68
174,122,75
159,104,63
176,118,72
176,125,80
175,117,71
175,113,74
172,113,71
174,112,71
179,117,68
176,117,73
173,114,70
171,109,68
171,113,65
167,105,58
167,103,59
170,102,53
167,106,62
172,110,73
172,111,66
166,112,68
167,113,77
156,117,86
165,94,28
164,88,36
161,86,28
156,87,28
160,87,34
160,87,32
164,88,36
166,91,34
157,94,41
166,94,35
163,91,32
167,93,32
163,93,34
162,95,42
161,95,43
165,97,34
161,95,35
166,96,27
155,92,39
166,97,28
164,96,47
173,101,42
152,81,25
171,96,39
163,97,37
171,100,46
166,96,44
170,101,44
171,101,41
163,100,46
169,98,42
167,100,47
162,100,49
171,102,43
167,100,47
161,98,47
168,103,47
166,97,40
173,103,44
159,107,70
165,99,47
165,99,47
160,96,50
161,91,39
161,100,55
179,121,71
168,107,53
168,99,42
166,100,48
174,98,40
165,99,47
162,98,50
166,100,50
158,96,49
167,100,48
166,94,36
161,95,37
164,93,37
158,93,51
164,93,41
167,101,51
160,90,39
164,96,35
159,92,40
160,90,39
162,90,32
151,92,32
158,96,45
154,91,37
150,89,35
163,94,37
153,87,35
157,92,36
159,92,39
147,86,41
149,92,47
159,92,47
154,91,48
161,91,40
162,92,33
158,88,37
160,88,38
161,90,38
145,90,49
162,89,36
164,88,30
160,94,42
154,91,40
155,93,46
159,91,44
150,90,53
153,85,38
150,86,40
160,90,38
171,104,52
172,98,37
166,93,40
158,86,36
162,98,60
174,107,65
171,102,60
175,107,62
168,102,67
170,101,59
161,99,62
172,100,60
164,101,66
164,97,42
162,95,40
156,88,43
153,90,39
131,83,45
159,96,42
158,89,34
159,91,42
160,97,44
161,94,51
155,94,47
162,96,62
167,98,41
141,88,44
157,91,41
147,82,42
149,86,45
150,82,37
138,79,45
151,85,35
151,83,38
140,77,42
120,61,31
148,89,57
145,92,61
144,91,57
133,98,78
157,88,46
151,87,43
159,92,40
146,81,43
159,95,47
154,89,49
157,88,46
154,90,46
157,89,42
148,86,37
152,84,39
155,88,43
